TIME,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202604171800,0.348,0.941,0.500,0.093,0.941,0.500,0.941,0.500,0.941
202604171806,0.352,,,,,,,,
202604171812,0.357,0.941,,,,,,,
202604171818,0.361,,,,,,,,
202604171824,0.366,0.951,,,,,,,
202604171830,0.371,,,,,,,,
202604171836,0.376,0.961,,,,,,,
202604171842,0.381,,,,,,,,
202604171848,0.385,0.980,,,,,,,
202604171854,0.390,,,,,,,,
202604171900,0.395,,0.500,,0.895,0.500,0.895,0.500,0.895
202604171906,0.400,1.000,,,,,,,
202604171912,0.405,1.000,,,,,,,
202604171918,0.411,1.010,,,,,,,
202604171924,0.416,1.029,,,,,,,
202604171930,0.421,1.029,,,,,,,
202604171936,0.426,1.039,,,,,,,
202604171942,0.431,1.039,,,,,,,
202604171948,0.436,1.049,,,,,,,
202604171954,0.441,1.049,,,,,,,
202604172000,0.446,1.049,0.500,0.103,1.049,0.500,1.049,0.500,1.049
202604172006,0.451,1.069,,,,,,,
202604172012,0.456,1.049,,,,,,,
202604172018,0.461,1.059,,,,,,,
202604172024,0.466,1.049,,,,,,,
202604172030,0.471,1.059,,,,,,,
202604172036,0.476,1.049,,,,,,,
202604172042,0.480,1.049,,,,,,,
202604172048,0.485,1.049,,,,,,,
202604172054,0.489,1.039,,,,,,,
202604172100,0.494,1.059,0.500,0.065,1.059,0.500,1.059,0.500,1.059
202604172106,0.498,1.049,,,,,,,
202604172112,0.502,1.059,,,,,,,
202604172118,0.507,1.079,,,,,,,
202604172124,0.511,1.079,,,,,,,
202604172130,0.514,1.069,,,,,,,
202604172136,0.518,1.088,,,,,,,
202604172142,0.522,1.098,,,,,,,
202604172148,0.525,1.108,,,,,,,
202604172154,0.529,1.118,,,,,,,
202604172200,0.532,1.118,0.500,0.086,1.118,0.500,1.118,0.500,1.118
202604172206,0.535,1.128,,,,,,,
202604172212,0.538,1.128,,,,,,,
202604172218,0.541,1.151,,,,,,,
202604172224,0.544,1.138,,,,,,,
202604172230,0.546,1.128,,,,,,,
202604172236,0.549,1.118,,,,,,,
202604172242,0.551,1.128,,,,,,,
202604172248,0.553,1.128,,,,,,,
202604172254,0.555,1.118,,,,,,,
202604172300,0.557,1.108,0.500,0.051,1.108,0.500,1.108,0.500,1.108
202604172306,0.558,1.108,,,,,,,
202604172312,0.560,1.118,,,,,,,
202604172318,0.561,1.128,,,,,,,
202604172324,0.563,1.128,,,,,,,
202604172330,0.564,1.128,,,,,,,
202604172336,0.565,1.118,,,,,,,
202604172342,0.565,1.138,,,,,,,
202604172348,0.566,1.138,,,,,,,
202604172354,0.566,1.138,,,,,,,
202604180000,0.567,1.138,0.400,0.171,1.138,0.400,1.138,0.400,1.138
202604180006,0.567,1.151,,,,,,,
202604180012,0.567,1.138,,,,,,,
202604180018,0.567,1.138,,,,,,,
202604180024,0.567,1.128,,,,,,,
202604180030,0.566,1.118,,,,,,,
202604180036,0.566,1.118,,,,,,,
202604180042,0.565,1.108,,,,,,,
202604180048,0.564,1.108,,,,,,,
202604180054,0.563,1.118,,,,,,,
202604180100,0.562,1.108,0.400,0.146,1.108,0.400,1.108,0.400,1.108
202604180106,0.560,1.088,,,,,,,
202604180112,0.559,1.098,,,,,,,
202604180118,0.557,1.098,,,,,,,
202604180124,0.555,1.098,,,,,,,
202604180130,0.553,1.098,,,,,,,
202604180136,0.551,1.098,,,,,,,
202604180142,0.549,1.118,,,,,,,
202604180148,0.546,1.098,,,,,,,
202604180154,0.543,1.079,,,,,,,
202604180200,0.540,1.079,0.400,0.139,1.079,0.400,1.079,0.400,1.079
202604180206,0.537,1.098,,,,,,,
202604180212,0.534,1.079,,,,,,,
202604180218,0.531,1.059,,,,,,,
202604180224,0.527,1.069,,,,,,,
202604180230,0.523,1.069,,,,,,,
202604180236,0.519,1.059,,,,,,,
202604180242,0.515,1.039,,,,,,,
202604180248,0.510,1.039,,,,,,,
202604180254,0.506,1.029,,,,,,,
202604180300,0.501,1.020,0.400,0.119,1.020,0.400,1.020,0.400,1.020
202604180306,0.496,1.020,,,,,,,
202604180312,0.491,1.020,,,,,,,
202604180318,0.486,1.020,,,,,,,
202604180324,0.481,1.000,,,,,,,
202604180330,0.475,0.990,,,,,,,
202604180336,0.470,1.000,,,,,,,
202604180342,0.464,0.990,,,,,,,
202604180348,0.458,0.980,,,,,,,
202604180354,0.452,0.990,,,,,,,
202604180400,0.446,1.000,0.400,0.154,1.000,0.400,1.000,0.400,1.000
202604180406,0.440,0.980,,,,,,,
202604180412,0.433,0.970,,,,,,,
202604180418,0.427,0.980,,,,,,,
202604180424,0.420,0.980,,,,,,,
202604180430,0.414,0.970,,,,,,,
202604180436,0.407,0.961,,,,,,,
202604180442,0.401,0.970,,,,,,,
202604180448,0.394,0.980,,,,,,,
202604180454,0.387,0.970,,,,,,,
202604180500,0.381,0.951,0.400,0.170,0.951,0.400,0.951,0.400,0.951
202604180506,0.374,0.941,,,,,,,
202604180512,0.367,0.928,,,,,,,
202604180518,0.360,0.918,,,,,,,
