TIME,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202604181200,1.297,1.800,0.600,-0.097,1.800,0.600,1.800,0.600,1.800
202604181206,1.307,,,,,,,,
202604181212,1.316,1.849,,,,,,,
202604181218,1.325,,,,,,,,
202604181224,1.334,1.879,,,,,,,
202604181230,1.342,,,,,,,,
202604181236,1.350,1.869,,,,,,,
202604181242,1.358,,,,,,,,
202604181248,1.365,1.889,,,,,,,
202604181254,1.373,,,,,,,,
202604181300,1.379,1.908,0.600,-0.071,1.908,0.600,1.908,0.600,1.908
202604181306,1.386,1.938,,,,,,,
202604181312,1.391,1.938,,,,,,,
202604181318,1.397,1.948,,,,,,,
202604181324,1.402,1.948,,,,,,,
202604181330,1.406,1.958,,,,,,,
202604181336,1.410,1.948,,,,,,,
202604181342,1.414,1.967,,,,,,,
202604181348,1.417,1.958,,,,,,,
202604181354,1.420,1.990,,,,,,,
202604181400,1.422,1.981,0.600,-0.041,1.981,0.600,1.981,0.600,1.981
202604181406,1.424,1.990,,,,,,,
202604181412,1.425,1.981,,,,,,,
202604181418,1.426,1.967,,,,,,,
202604181424,1.426,1.967,,,,,,,
202604181430,1.426,1.981,,,,,,,
202604181436,1.425,1.967,,,,,,,
202604181442,1.424,1.958,,,,,,,
202604181448,1.423,1.967,,,,,,,
202604181454,1.421,1.981,,,,,,,
202604181500,1.419,1.967,0.600,-0.052,1.967,0.600,1.967,0.600,1.967
202604181506,1.417,1.958,,,,,,,
202604181512,1.414,1.958,,,,,,,
202604181518,1.411,1.938,,,,,,,
202604181524,1.407,1.948,,,,,,,
202604181530,1.404,1.948,,,,,,,
202604181536,1.399,1.928,,,,,,,
202604181542,1.395,1.928,,,,,,,
202604181548,1.390,1.918,,,,,,,
202604181554,1.385,1.918,,,,,,,
202604181600,1.380,1.928,0.500,0.048,1.928,0.500,1.928,0.500,1.928
202604181606,1.374,1.928,,,,,,,
202604181612,1.368,1.928,,,,,,,
202604181618,1.362,1.908,,,,,,,
202604181624,1.355,1.899,,,,,,,
202604181630,1.348,1.879,,,,,,,
202604181636,1.340,1.869,,,,,,,
202604181642,1.332,1.849,,,,,,,
202604181648,1.324,1.859,,,,,,,
202604181654,1.315,1.830,,,,,,,
202604181700,1.306,1.820,0.500,0.014,1.820,0.500,1.820,0.500,1.820
202604181706,1.296,1.810,,,,,,,
202604181712,1.285,1.781,,,,,,,
202604181718,1.275,1.767,,,,,,,
202604181724,1.263,1.758,,,,,,,
202604181730,1.251,1.758,,,,,,,
202604181736,1.239,1.708,,,,,,,
202604181742,1.225,1.679,,,,,,,
202604181748,1.211,1.659,,,,,,,
202604181754,1.197,1.610,,,,,,,
202604181800,1.182,1.600,0.600,-0.182,1.600,0.600,1.600,0.600,1.600
202604181806,1.166,1.590,,,,,,,
202604181812,1.150,1.557,,,,,,,
202604181818,1.133,1.528,,,,,,,
202604181824,1.115,1.498,,,,,,,
202604181830,1.096,1.479,,,,,,,
202604181836,1.077,1.439,,,,,,,
202604181842,1.058,1.430,,,,,,,
202604181848,1.037,1.420,,,,,,,
202604181854,1.016,1.410,,,,,,,
202604181900,0.995,1.371,0.600,-0.224,1.371,0.600,1.371,0.600,1.371
202604181906,0.973,1.298,,,,,,,
202604181912,0.950,1.308,,,,,,,
202604181918,0.927,1.279,,,,,,,
202604181924,0.903,1.249,,,,,,,
202604181930,0.879,1.239,,,,,,,
202604181936,0.854,1.210,,,,,,,
202604181942,0.829,1.210,,,,,,,
202604181948,0.803,1.161,,,,,,,
202604181954,0.778,1.118,,,,,,,
202604182000,0.751,1.098,0.500,-0.153,1.098,0.500,1.098,0.600,1.198
202604182006,0.725,1.098,,,,,,,
202604182012,0.698,1.069,,,,,,,
202604182018,0.671,1.039,,,,,,,
202604182024,0.644,1.039,,,,,,,
202604182030,0.616,1.000,,,,,,,
202604182036,0.588,0.951,,,,,,,
202604182042,0.561,0.941,,,,,,,
202604182048,0.533,0.898,,,,,,,
202604182054,0.505,0.879,,,,,,,
202604182100,0.477,0.839,0.500,-0.138,0.839,0.500,0.839,0.500,0.839
202604182106,0.449,0.810,,,,,,,
202604182112,0.421,0.800,,,,,,,
202604182118,0.393,0.770,,,,,,,
202604182124,0.365,0.731,,,,,,,
202604182130,0.338,0.718,,,,,,,
202604182136,0.310,0.678,,,,,,,
202604182142,0.283,0.649,,,,,,,
202604182148,0.256,0.629,,,,,,,
202604182154,0.229,0.619,,,,,,,
202604182200,0.203,0.580,0.600,-0.223,0.580,0.600,0.580,0.600,0.580
202604182206,0.177,0.560,,,,,,,
202604182212,0.151,0.541,,,,,,,
202604182218,0.126,0.531,,,,,,,
202604182224,0.101,0.498,,,,,,,
202604182230,0.076,0.449,,,,,,,
202604182236,0.052,0.449,,,,,,,
202604182242,0.029,0.409,,,,,,,
202604182248,0.006,0.400,,,,,,,
202604182254,-0.016,0.380,,,,,,,
202604182300,-0.038,0.370,0.600,-0.192,0.370,0.600,0.370,0.600,0.370
202604182306,-0.059,0.331,,,,,,,
202604182312,-0.079,0.308,,,,,,,
202604182318,-0.099,0.288,,,,,,,
202604182324,-0.118,0.288,,,,,,,
202604182330,-0.136,0.268,,,,,,,
