TIME,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202604070000,0.196,1.548,0.600,0.752,1.548,0.600,1.548,0.700,1.648
202604070006,0.181,,,,,,,,
202604070012,0.166,1.430,,,,,,,
202604070018,0.152,,,,,,,,
202604070024,0.138,1.479,,,,,,,
202604070030,0.125,,,,,,,,
202604070036,0.111,1.508,,,,,,,
202604070042,0.099,,,,,,,,
202604070048,0.086,1.439,,,,,,,
202604070054,0.074,,,,,,,,
202604070100,0.062,1.430,0.600,0.768,1.430,0.600,1.430,0.700,1.530
202604070106,0.051,1.420,,,,,,,
202604070112,0.040,1.380,,,,,,,
202604070118,0.029,1.400,,,,,,,
202604070124,0.019,1.348,,,,,,,
202604070130,0.009,1.371,,,,,,,
202604070136,0.000,1.371,,,,,,,
202604070142,-0.008,1.380,,,,,,,
202604070148,-0.016,1.439,,,,,,,
202604070154,-0.025,1.348,,,,,,,
202604070200,-0.032,1.348,0.700,0.680,1.348,0.600,1.248,0.700,1.348
202604070206,-0.040,1.308,,,,,,,
202604070212,-0.047,1.289,,,,,,,
202604070218,-0.053,1.308,,,,,,,
202604070224,-0.060,1.328,,,,,,,
202604070230,-0.066,1.328,,,,,,,
202604070236,-0.071,1.328,,,,,,,
202604070242,-0.077,1.308,,,,,,,
202604070248,-0.081,1.289,,,,,,,
202604070254,-0.086,1.308,,,,,,,
202604070300,-0.090,1.298,0.600,0.788,1.298,0.600,1.298,0.600,1.298
202604070306,-0.094,1.279,,,,,,,
202604070312,-0.098,1.279,,,,,,,
202604070318,-0.101,1.269,,,,,,,
202604070324,-0.104,1.259,,,,,,,
202604070330,-0.107,1.279,,,,,,,
202604070336,-0.110,1.279,,,,,,,
202604070342,-0.112,1.239,,,,,,,
202604070348,-0.114,1.249,,,,,,,
202604070354,-0.115,1.269,,,,,,,
202604070400,-0.117,1.279,0.600,0.796,1.279,0.600,1.279,0.600,1.279
202604070406,-0.118,1.279,,,,,,,
202604070412,-0.118,1.249,,,,,,,
202604070418,-0.118,1.298,,,,,,,
202604070424,-0.118,1.249,,,,,,,
202604070430,-0.118,1.249,,,,,,,
202604070436,-0.117,1.269,,,,,,,
202604070442,-0.116,1.269,,,,,,,
202604070448,-0.114,1.249,,,,,,,
202604070454,-0.112,1.180,,,,,,,
202604070500,-0.110,1.249,0.600,0.759,1.249,0.600,1.249,0.700,1.349
202604070506,-0.107,1.269,,,,,,,
202604070512,-0.103,1.308,,,,,,,
202604070518,-0.099,1.249,,,,,,,
202604070524,-0.095,1.298,,,,,,,
202604070530,-0.090,1.308,,,,,,,
202604070536,-0.085,1.249,,,,,,,
202604070542,-0.079,1.338,,,,,,,
202604070548,-0.073,1.318,,,,,,,
202604070554,-0.066,1.318,,,,,,,
202604070600,-0.059,1.371,0.700,0.730,1.371,0.700,1.371,0.700,1.371
202604070606,-0.051,1.348,,,,,,,
202604070612,-0.043,1.348,,,,,,,
202604070618,-0.035,1.371,,,,,,,
202604070624,-0.026,1.390,,,,,,,
202604070630,-0.017,1.390,,,,,,,
202604070636,-0.007,1.420,,,,,,,
202604070642,0.002,1.430,,,,,,,
202604070648,0.013,1.400,,,,,,,
202604070654,0.023,1.420,,,,,,,
202604070700,0.035,1.430,0.700,0.695,1.430,0.700,1.430,0.700,1.430
202604070706,0.046,1.439,,,,,,,
202604070712,0.058,1.449,,,,,,,
202604070718,0.070,1.518,,,,,,,
202604070724,0.082,1.518,,,,,,,
202604070730,0.094,1.528,,,,,,,
202604070736,0.107,1.548,,,,,,,
202604070742,0.120,1.528,,,,,,,
202604070748,0.133,1.528,,,,,,,
202604070754,0.146,1.580,,,,,,,
202604070800,0.159,1.600,0.700,0.741,1.600,0.700,1.600,0.700,1.600
202604070806,0.173,1.590,,,,,,,
202604070812,0.186,1.620,,,,,,,
202604070818,0.200,1.649,,,,,,,
202604070824,0.214,1.679,,,,,,,
202604070830,0.228,1.689,,,,,,,
202604070836,0.242,1.708,,,,,,,
202604070842,0.257,1.728,,,,,,,
202604070848,0.271,1.738,,,,,,,
202604070854,0.286,1.758,,,,,,,
202604070900,0.300,1.767,0.700,0.767,1.767,0.700,1.767,0.700,1.767
202604070906,0.315,1.781,,,,,,,
202604070912,0.330,1.781,,,,,,,
202604070918,0.345,1.790,,,,,,,
202604070924,0.361,1.820,,,,,,,
202604070930,0.376,1.830,,,,,,,
202604070936,0.392,1.790,,,,,,,
202604070942,0.408,1.879,,,,,,,
202604070948,0.424,1.889,,,,,,,
202604070954,0.440,1.938,,,,,,,
202604071000,0.456,1.918,0.700,0.762,1.918,0.700,1.918,0.700,1.918
202604071006,0.473,1.928,,,,,,,
202604071012,0.489,1.948,,,,,,,
202604071018,0.506,1.981,,,,,,,
202604071024,0.523,2.020,,,,,,,
202604071030,0.540,2.040,,,,,,,
202604071036,0.557,2.059,,,,,,,
202604071042,0.574,2.069,,,,,,,
202604071048,0.592,2.040,,,,,,,
202604071054,0.609,2.109,,,,,,,
202604071100,0.627,2.109,0.700,0.782,2.109,0.700,2.109,0.800,2.209
202604071106,0.644,2.118,,,,,,,
202604071112,0.662,2.200,,,,,,,
202604071118,0.679,2.230,,,,,,,
202604071124,0.697,2.128,,,,,,,
202604071130,0.714,2.200,,,,,,,
202604071136,0.732,2.240,,,,,,,
202604071142,0.749,2.240,,,,,,,
202604071148,0.766,2.269,,,,,,,
202604071154,0.783,2.279,,,,,,,
202604071200,0.801,2.289,0.600,0.888,2.289,0.600,2.289,0.600,2.289
202604071206,0.818,2.309,,,,,,,
202604071212,0.834,2.358,,,,,,,
202604071218,0.851,2.387,,,,,,,
202604071224,0.868,2.377,,,,,,,
202604071230,0.884,2.387,,,,,,,
202604071236,0.900,2.420,,,,,,,
202604071242,0.916,2.430,,,,,,,
202604071248,0.932,2.420,,,,,,,
202604071254,0.948,2.440,,,,,,,
202604071300,0.963,2.469,0.600,0.906,2.469,0.600,2.469,0.600,2.469
202604071306,0.978,2.479,,,,,,,
202604071312,0.993,2.479,,,,,,,
202604071318,1.008,2.509,,,,,,,
202604071324,1.023,2.538,,,,,,,
202604071330,1.037,2.578,,,,,,,
202604071336,1.051,2.587,,,,,,,
202604071342,1.064,2.587,,,,,,,
202604071348,1.078,2.640,,,,,,,
202604071354,1.091,2.568,,,,,,,
202604071400,1.104,2.640,0.600,0.936,2.640,0.600,2.640,0.600,2.640
202604071406,1.116,2.548,,,,,,,
202604071412,1.129,2.669,,,,,,,
202604071418,1.141,2.630,,,,,,,
202604071424,1.152,2.719,,,,,,,
202604071430,1.163,2.699,,,,,,,
202604071436,1.174,2.699,,,,,,,
202604071442,1.184,2.689,,,,,,,
202604071448,1.194,2.719,,,,,,,
202604071454,1.204,2.719,,,,,,,
202604071500,1.213,2.738,0.600,0.925,2.738,0.500,2.638,0.600,2.738
202604071506,1.222,2.728,,,,,,,
202604071512,1.230,2.738,,,,,,,
202604071518,1.237,2.758,,,,,,,
202604071524,1.245,2.738,,,,,,,
202604071530,1.251,2.719,,,,,,,
202604071536,1.257,2.768,,,,,,,
202604071542,1.263,2.768,,,,,,,
202604071548,1.268,2.768,,,,,,,
202604071554,1.272,2.797,,,,,,,
202604071600,1.276,2.768,0.600,0.892,2.768,0.500,2.668,0.600,2.768
202604071606,1.279,2.768,,,,,,,
202604071612,1.282,2.738,,,,,,,
202604071618,1.284,2.758,,,,,,,
202604071624,1.286,2.778,,,,,,,
202604071630,1.287,2.820,,,,,,,
202604071636,1.288,2.807,,,,,,,
202604071642,1.288,2.797,,,,,,,
202604071648,1.287,2.778,,,,,,,
202604071654,1.286,2.778,,,,,,,
202604071700,1.285,2.778,0.600,0.893,2.778,0.500,2.678,0.600,2.778
202604071706,1.282,2.758,,,,,,,
202604071712,1.280,2.787,,,,,,,
202604071718,1.277,2.778,,,,,,,
202604071724,1.274,2.778,,,,,,,
202604071730,1.270,2.768,,,,,,,
202604071736,1.265,2.787,,,,,,,
202604071742,1.261,2.778,,,,,,,
202604071748,1.256,2.728,,,,,,,
202604071754,1.250,2.787,,,,,,,
202604071800,1.244,2.768,0.600,0.924,2.768,0.600,2.768,0.600,2.768
202604071806,1.238,2.768,,,,,,,
202604071812,1.231,2.758,,,,,,,
202604071818,1.224,2.709,,,,,,,
202604071824,1.217,2.709,,,,,,,
202604071830,1.210,2.669,,,,,,,
202604071836,1.202,2.709,,,,,,,
202604071842,1.193,2.699,,,,,,,
202604071848,1.184,2.709,,,,,,,
202604071854,1.175,2.728,,,,,,,
202604071900,1.166,2.738,0.600,0.972,2.738,0.600,2.738,0.600,2.738
202604071906,1.156,2.610,,,,,,,
202604071912,1.146,2.660,,,,,,,
202604071918,1.135,2.660,,,,,,,
202604071924,1.124,2.660,,,,,,,
202604071930,1.113,2.669,,,,,,,
202604071936,1.102,2.660,,,,,,,
202604071942,1.089,2.610,,,,,,,
202604071948,1.077,2.597,,,,,,,
202604071954,1.064,2.610,,,,,,,
202604072000,1.051,2.587,0.600,0.936,2.587,0.600,2.587,0.600,2.587
202604072006,1.037,2.558,,,,,,,
202604072012,1.023,2.528,,,,,,,
202604072018,1.009,2.519,,,,,,,
202604072024,0.994,2.499,,,,,,,
202604072030,0.979,2.479,,,,,,,
202604072036,0.964,2.440,,,,,,,
202604072042,0.948,2.450,,,,,,,
202604072048,0.932,2.430,,,,,,,
202604072054,0.915,2.410,,,,,,,
202604072100,0.899,2.377,0.600,0.878,2.377,0.600,2.377,0.600,2.377
202604072106,0.882,2.318,,,,,,,
202604072112,0.864,2.368,,,,,,,
202604072118,0.847,2.328,,,,,,,
202604072124,0.829,2.318,,,,,,,
202604072130,0.812,2.318,,,,,,,
202604072136,0.794,2.299,,,,,,,
202604072142,0.776,2.279,,,,,,,
202604072148,0.758,2.191,,,,,,,
202604072154,0.739,2.318,,,,,,,
202604072200,0.721,2.099,0.600,0.778,2.099,0.600,2.099,0.700,2.199
202604072206,0.703,2.210,,,,,,,
202604072212,0.684,2.191,,,,,,,
202604072218,0.666,2.158,,,,,,,
202604072224,0.648,2.168,,,,,,,
202604072230,0.630,2.109,,,,,,,
202604072236,0.611,2.099,,,,,,,
202604072242,0.593,2.079,,,,,,,
202604072248,0.575,2.089,,,,,,,
202604072254,0.557,2.089,,,,,,,
202604072300,0.539,2.059,0.700,0.820,2.059,0.700,2.059,0.700,2.059
202604072306,0.522,2.030,,,,,,,
202604072312,0.504,1.981,,,,,,,
202604072318,0.486,1.967,,,,,,,
202604072324,0.469,1.981,,,,,,,
202604072330,0.452,1.958,,,,,,,
202604072336,0.434,1.938,,,,,,,
